"mdbf1" "mdbf2" "mdbf3" "mdbf4" "mdbf5" "mdbf6" "mdbf7" "mdbf8" "mdbf9" "mdbf10" "mdbf11" "mdbf12" "time_pre" "lz" "extra" "vertr" "gewis" "neuro" "offen" "prok" "nerd" "uni1" "uni2" "uni3" "uni4" "grund" "fach" "ziel" "wissen" "therap" "lerntyp" "hand" "job" "ort" "ort12" "wohnen" "attent" "gs_post" "wm_post" "ru_post" "time_post" "attent_post"
"13" 4 2 1 1 3 3 3 4 1 4 1 4 36 6.6 5 3.5 4.5 1 2.5 2.5 1.83333333333333 0 1 0 0 "sehr interessante Studieninhalte " 2 2 2 5 1 2 1 2 1 2 5 3.25 1.5 2.25 18 5
"14" 3 3 3 1 1 2 2 3 2 4 1 3 59 6.4 3.5 3.5 5 3.5 3.5 2.9 2.16666666666667 0 1 0 0 "thematisch spannend " 4 2 4 5 3 2 2 1 2 4 5 3.25 2.75 2.25 57 5
"15" 3 3 1 1 1 2 2 3 1 2 1 3 31 5.8 4 3.5 3.5 3 2 2.8 3.33333333333333 0 1 0 0 NA 1 1 5 4 3 2 2 2 2 2 4 3 2.75 2.5 35 3
"16" 3 2 3 1 4 2 3 4 2 2 2 2 59 4.6 3 2.5 2 4 3 3 2.83333333333333 0 1 1 0 "Tiefgründigeres verstehen von menschlichem Verhalten." 3 1 3 5 3 2 1 2 2 4 5 NA NA NA NA NA
"17" 3 2 3 1 4 2 3 4 2 2 2 2 59 4.6 3 2.5 2 4 3 3 2.83333333333333 0 1 1 0 "Tiefgründigeres verstehen von menschlichem Verhalten." 3 1 3 5 3 2 1 2 2 4 5 2.75 1.75 2.25 20 5
"18" 3 4 1 2 2 4 3 3 4 3 2 3 30 2 3.5 1 3 4 5 2.5 3.16666666666667 0 1 1 0 "Job bei der CIA" 4 2 5 5 3 2 2 2 1 2 5 NA NA NA NA NA
"19" 3 3 2 2 2 3 2 3 2 3 2 3 29 4.6 3.5 3.5 3 2 4.5 2.7 3.66666666666667 0 1 0 0 "Persönliches Interesse an der Wissenschaft, nützlich im alltäglichen Leben " 4 3 5 4 3 2 2 1 2 1 5 2.75 2.75 2.25 15 5
"20" 3 2 1 1 1 3 2 4 1 3 1 4 49 5.2 4 3 4 4 5 2.6 3.66666666666667 0 1 1 0 "Interesse am Unerforschten." 4 2 4 5 3 2 1 1 1 2 4 NA NA NA NA NA
"21" 3 3 2 2 1 3 1 3 2 3 2 3 45 4 2 2.5 2.5 4 4.5 2.5 4.16666666666667 0 0 0 0 NA 3 NA 4 4 1 1 2 2 2 2 4 2.75 2 2.75 55 4
"22" 4 4 1 1 1 4 2 4 1 4 1 4 45 6.4 5 4 3 2 5 2.3 3 0 1 1 1 "Tatsächliche Bedürfnisse von Menschen erfüllen" 4 2 4 5 3 2 2 1 2 1 5 NA NA NA NA NA
"23" 3 3 2 1 2 2 3 3 2 2 3 1 56 4.8 4 3.5 4 4 4 3 2.83333333333333 1 1 0 0 "Psychologie hat einen großen Einfluss auf das eigene Leben. Ich war selbst in Verhaltenstherapie." 4 2 5 5 3 2 1 1 2 1 5 NA NA NA NA NA
"24" 2 3 3 3 3 3 2 2 3 2 3 2 39 5 1.5 1.5 5 2.5 3.5 2.7 4.16666666666667 0 1 0 0 "Menschenverständnis" 4 2 3 5 1 2 1 1 1 3 4 NA NA NA NA NA
"25" 4 3 1 1 2 1 2 4 2 3 2 4 32 6.8 3 4.5 5 2 3 2.4 1.5 0 1 0 0 " -Um Menschen zu helfen " 4 2 5 5 1 1 1 2 2 3 5 3.25 2.75 2.5 24 5
"26" 3 1 1 2 4 2 4 3 1 1 2 2 59 2.6 1 4 5 4.5 5 2.6 3.16666666666667 0 0 0 0 NA 4 2 1 5 1 1 2 1 1 3 4 2.5 1.75 2.75 53 5
"27" 3 3 3 2 2 2 2 3 2 3 2 3 47 4.6 3.5 3 4 4 3 2.3 2.16666666666667 0 1 1 0 "Aus Interesse, schwierige Familiensituation, möchte Menschen helfen können" 3 4 5 5 3 2 1 1 1 2 5 2 3.25 2.5 58 5
"28" 3 2 4 2 2 2 2 3 4 3 3 1 31 4.4 1 3 4 4.5 4.5 2.9 3.66666666666667 1 1 0 0 "Interesse, Helfen wollen und eigene Erfahrungen " 4 2 3 5 1 2 1 2 2 2 5 2.25 2.5 3 60 5
"29" 3 2 3 2 3 2 4 3 3 2 2 2 41 5.6 4 3 3.5 3 2.5 2.6 2.83333333333333 0 1 1 0 "Vielfältigkeit der Themen und Berufsmöglichkeiten " 3 4 3 4 3 1 2 1 1 4 5 NA NA NA NA NA
"30" 2 2 2 2 3 3 3 3 2 2 2 2 54 5.6 3.5 3.5 3 4 4.5 2.7 2 0 1 1 0 "Alles rund um den Menschen sehr interessant " 3 2 2 5 3 1 2 2 1 2 4 NA NA NA NA NA
"31" 2 2 3 2 3 2 3 2 2 2 2 3 47 3 2 4 3 4 3.5 3.1 3.83333333333333 0 1 0 0 NA NA 3 4 4 3 2 2 1 2 1 4 2.75 2.25 2.25 85 4
"32" 4 4 1 1 2 3 1 4 2 3 1 3 36 4.8 4.5 3.5 3.5 3.5 5 3 3.83333333333333 1 1 1 1 "Es war schon immer mein Traum, Psychotherapeutin zu werden und in der Welt etwas zu bewegen, Menschen zu helfen wieder ihr Glück zu finden" 3 2 5 5 1 2 1 1 1 4 4 2.5 2.5 2.75 63 4
"33" 3 2 4 3 2 2 2 2 3 2 3 2 58 3.8 3.5 3.5 4 3.5 3 2.7 3.33333333333333 1 1 0 0 "Mich selbst und andere verstehen wollen" 4 2 4 4 1 2 1 2 1 2 5 2.5 3 2.5 42 5
"34" 4 4 2 1 2 2 1 3 3 3 1 1 28 5.5 4.5 4.5 1.5 2.5 3.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" 3 3 1 1 1 4 2 3 1 3 1 4 42 5.4 2.5 3.5 2 3 4 2.4 2.5 0 1 1 0 "kam als einziges in Frage " 3 1 5 5 3 2 2 1 3 1 5 NA NA NA NA NA
"36" 3 3 1 1 1 2 2 4 2 4 1 3 56 5.8 3.5 4.5 3.5 2 4.5 2.8 2.83333333333333 0 1 0 0 "Interesse an Menschen und deren Psyche " 4 2 4 4 3 2 1 2 1 3 5 2 2.75 3 58 5
"37" 3 3 1 3 2 3 3 3 2 2 2 2 37 5.8 4.5 3.5 4 3.5 2.5 2.5 3.5 0 1 1 0 NA 4 4 3 5 3 1 2 2 2 2 5 3.25 2.75 2.25 26 5
"38" 4 2 2 1 3 3 2 3 2 2 2 2 47 4.6 2.5 2.5 2 3.5 3.5 2.6 4.66666666666667 0 1 1 0 "Mittelpunkt sich wechselnder Interessen" 3 2 5 5 1 2 1 2 1 4 5 NA NA NA NA NA
"39" 2 2 3 1 3 2 3 2 2 2 1 1 45 4.6 3.5 3 4 3.5 4 2.3 1.83333333333333 0 1 0 0 "Interesse" 4 1 4 5 1 2 1 1 1 2 5 3.25 2.75 3.25 58 5
"40" 3 3 2 3 2 2 3 2 2 3 3 2 44 4.2 2 4 3 4 4 2.8 3.5 0 1 0 0 "Interesse" 4 3 5 5 1 2 1 2 1 1 4 2.75 2.75 2 32 4
"41" 3 3 2 2 2 2 2 3 4 2 3 2 40 4.8 2.5 3.5 4 4 5 2.5 3.83333333333333 0 1 1 1 "Ich möchte anderen helfen " 2 2 4 5 3 2 2 2 2 3 4 NA NA NA NA NA
"42" 3 3 1 1 2 3 2 4 2 4 1 3 50 4.2 4 3.5 4.5 2.5 3.5 2.7 3 0 1 1 0 "Interesse, berufliche Aussichten" 1 1 4 5 3 2 1 2 1 2 5 NA NA NA NA NA
"43" 3 2 3 2 2 3 3 3 2 3 1 2 97 5 4.5 3.5 4 3.5 4 2.8 2.83333333333333 0 1 1 0 "großes Interesse an Gesprächs technicken im Hinblick auf verschiedene Erkrankungen " 4 2 4 5 3 2 2 1 2 1 4 NA NA NA NA NA
"44" 3 3 2 1 3 3 1 3 2 2 1 4 41 4.8 4 4 1.5 3 4.5 2.7 3.16666666666667 0 1 1 0 "Persönliches Interesse an psychischen Erkrankungen " 4 2 3 4 3 2 1 2 1 4 5 2.75 2 2.75 47 5
"45" 4 4 1 1 1 3 1 3 2 3 1 3 46 6 4 4 4 4 3.5 2.4 1.83333333333333 0 1 1 0 "Interesse am Fach " 3 1 4 5 3 2 1 1 1 4 5 3.5 3.5 2 31 5
"46" 2 3 2 1 2 3 2 4 1 3 1 3 107 3.2 3.5 4 2.5 4.5 5 2.8 3.16666666666667 1 1 0 1 "Psychotherapeut als karriere" 4 2 5 5 3 2 1 2 1 3 4 3.25 2.5 2.25 33 5
"47" 3 3 2 1 3 2 2 3 3 3 2 2 79 6 2.5 4 4.5 4 4.5 2.4 2.83333333333333 0 1 0 0 "Menschen helfen" 3 4 3 4 3 2 1 1 1 2 4 3 2.25 2.25 48 5
"48" 4 3 2 1 1 3 2 3 2 4 1 3 59 6 4 3 3 2 4.5 2.9 2.66666666666667 0 1 1 0 "Interesse am Wissen" 1 1 4 5 3 2 2 2 1 2 5 3.5 1.75 2 60 5
"49" 4 3 2 1 3 3 3 3 2 3 1 3 31 5.6 3 2 3 3.5 5 2.4 4.16666666666667 0 1 0 0 "Interesse am menschlichen geist" 4 2 4 4 3 2 1 2 2 2 5 NA NA NA NA NA
"50" 3 2 1 1 2 3 3 3 2 3 1 4 59 5.2 4.5 2 3 3 4.5 2.4 3.16666666666667 0 1 0 0 "Erfüllung und Intresse" 4 2 4 5 3 2 1 1 1 1 5 NA NA NA NA NA
"51" 1 1 1 1 1 4 2 4 1 1 1 3 37 2.8 3 5 3 3 1.5 3 3.16666666666667 0 1 0 0 "Leute können sich mir leicht oeffnen" 1 2 5 5 3 1 2 2 2 4 5 2.5 2.25 2 54 5
"52" 4 3 2 1 3 3 3 3 2 4 1 3 50 5.4 3 4 2.5 3 2.5 2.6 3.66666666666667 0 1 1 1 "Das mich das Fach unglaublich interessiert und ich das menschliche Gehirn faszinierend finde. " 2 4 5 5 3 1 1 1 1 2 5 NA NA NA NA NA
"53" 1 1 3 4 3 2 3 1 4 2 4 2 33 5 4 2.5 4 5 4.5 2.8 3.5 0 1 1 1 "interesse an den behandelten thematiken " 3 1 2 5 3 2 2 1 2 3 5 3.25 2.25 2.5 60 5
"54" 3 4 3 1 3 3 3 4 3 3 2 2 73 5.6 4 4.5 4 2 3.5 2.7 3.16666666666667 0 1 0 0 NA 4 2 5 5 3 2 1 2 2 2 5 3 2.25 2.5 44 4
"55" 3 2 2 1 2 3 3 3 2 3 2 2 33 3.8 3 3.5 3.5 3.5 4 2.7 3.5 0 1 1 0 "Interessante Studieninhalte, Berufsmöglichkeiten, persönliche Weiterentwicklung " 4 2 5 5 2 2 1 2 1 1 5 NA NA NA NA NA
"56" 2 2 3 3 3 2 3 3 3 2 2 2 27 4.8 3.5 3.5 3.5 4 4 3.2 3.33333333333333 0 1 1 1 "Bauchgefühl" 3 4 3 4 3 2 1 1 2 1 5 NA NA NA NA NA
"57" 3 3 2 1 3 3 3 3 2 3 1 3 77 4.2 3 1.5 3 4 3.5 3.1 2.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" 3 2 2 2 3 2 1 3 2 2 2 3 73 4 4.5 3 2 3.5 1.5 2.6 1.5 0 1 1 1 "Inhalt wirkte spannend" 1 4 4 4 1 2 1 1 2 1 5 2.75 2.75 2.5 44 5
"59" 2 2 3 3 4 3 4 2 1 2 2 2 43 3 2.5 2.5 2.5 3.5 4 2.8 3.66666666666667 0 1 0 0 "interesse am fach und das studium bietet viele möglichkeiten " 2 2 5 5 3 2 2 1 3 1 4 NA NA NA NA NA
"60" 3 1 3 1 2 4 4 4 3 2 1 3 56 4.6 3.5 3 3 2.5 5 2.9 3.66666666666667 1 1 0 0 "Großes Interesse " 1 3 3 5 3 2 1 1 1 1 4 3.5 2.5 2.75 41 5
"61" 4 4 2 2 4 2 4 4 2 2 2 3 36 5.8 2.5 3 4 2.5 2.5 2.5 3 0 1 0 0 "Doppelstudium mit wiwi, um meinen gewünschten master belegen zu können" 2 1 4 4 3 2 1 1 1 1 5 2.75 2.25 3 27 5
"62" 2 2 4 2 1 2 3 2 4 2 3 2 58 5.8 4 2.5 4.5 4 4.5 2.8 3 1 1 0 0 "Was in meinem Leben verändern, weiterbilden, Hoffnung" 4 2 5 3 3 2 1 1 1 1 4 NA NA NA NA NA
"63" 4 4 2 1 1 3 1 4 1 3 1 2 43 5 5 4 3 1.5 4.5 2.4 2.33333333333333 0 1 1 1 "Facettenreich: Mathe, Biologie, Gesellschaftswissenschaft " 3 1 4 5 3 2 1 1 1 2 5 3.25 2.75 2.25 46 5
"64" 4 4 1 1 2 3 1 3 1 2 1 4 38 5.8 4.5 5 4 3.5 4.5 3 2 0 1 1 0 "Ich will Therapeut werden " 4 2 3 5 1 1 1 2 2 2 4 3.25 2.5 2 50 5
"65" 3 4 1 1 1 4 3 3 1 3 1 3 27 5.2 4.5 3 4.5 3.5 2.5 3 2.66666666666667 0 1 1 0 "Weil ich wirklich verstehen möchte, wie der Mensch funktioniert." 1 4 4 4 3 2 1 2 2 2 5 2.75 2.25 2.25 35 5
"66" 3 3 2 1 2 2 3 3 3 2 2 2 31 5.4 2 3.5 3 4 3.5 2.5 3.66666666666667 0 1 0 0 NA 4 2 4 5 3 2 1 2 2 2 4 2 2.5 3 26 4
"67" 4 3 1 1 2 4 2 4 1 1 1 3 30 5.8 4.5 4.5 3.5 1.5 4.5 2.6 4 1 1 1 1 "Interesse" NA 3 5 5 3 2 2 1 1 1 5 3.25 3.25 1.75 15 5
"68" 2 3 4 3 2 1 2 2 3 2 3 1 47 4 3 2.5 4 4 2.5 2.2 3 0 1 1 0 "Sehr starkes Interesse. " 4 4 5 5 1 1 1 1 3 3 4 2 2.25 3.25 42 4
"69" 3 3 1 1 1 2 1 4 2 3 3 2 126 2.6 3.5 2.5 4.5 2.5 4.5 2.5 2 0 1 1 0 "Interesse und Kompetenz " 1 4 3 4 3 2 1 1 2 3 5 NA NA NA NA NA
"70" 4 3 1 1 2 3 2 4 2 4 1 4 24 6 4.5 4.5 3 3 4 2.9 3.33333333333333 0 1 1 1 "Die psychische des Menschen, Psyhologische Prozesse, Entwicklung des Menschen, was bewegen innere Prozesse und wie spiegeln sie sich im Verhakten wieder " 4 2 2 5 3 2 1 1 1 3 5 3.25 2.75 2 19 5
"71" 3 2 1 1 2 3 2 3 1 4 1 3 45 5.8 3 4.5 3.5 3 2.5 2.9 2.5 0 0 0 0 "Faszination, Berufsaussichten (sowohl auf Sicherheit, als auch auf Lebenssinn bezogen)" 3 2 3 5 3 2 1 1 1 1 5 3.25 2 2.25 50 5
"72" 4 4 2 1 1 3 1 4 3 3 2 3 35 6.6 4.5 3.5 3 4 5 2.9 3.83333333333333 0 1 1 0 "Menschen helfen, Interesse an den Inhalten" 1 3 4 5 3 2 2 1 2 1 5 NA NA NA NA NA
"73" 4 3 1 1 2 3 2 3 1 3 1 3 29 4.4 4 3.5 3.5 3.5 4 2.6 3.83333333333333 0 1 0 0 "Intrinsische Motivation, Interesse " 3 3 3 4 3 2 1 1 1 1 5 3.5 2.75 2.5 19 5
"74" 3 2 1 2 2 3 2 3 1 2 1 2 40 4.4 3 3.5 3 3.5 2 2.6 3.33333333333333 0 1 0 0 "Um Psychotherapeutin zu werden " 4 2 3 5 3 2 1 1 2 4 4 3 2.5 2.75 25 4
"75" 3 2 2 1 3 2 3 3 2 3 3 2 41 7 4.5 3.5 3.5 2.5 4.5 2.6 2.83333333333333 0 1 1 0 "Interesse und persönliche Erfahrung mit psychischen Erkrankungen in familiären Umfeld " 4 2 5 5 3 2 1 1 2 1 5 3.25 2 2.75 35 5
"76" 3 2 1 1 1 3 3 4 2 3 2 3 57 6 3.5 4 4 3 4.5 2.7 2.66666666666667 0 1 1 0 "breites tätigkeitsfeld, besonderes interesse am geist des menschen" 1 4 4 5 1 2 1 1 1 2 5 3.25 2.5 2.5 47 5
"77" 3 2 3 2 3 3 4 3 4 3 3 3 64 4.4 1.5 3 4 3.5 3 2.6 3.66666666666667 0 1 0 0 "Interesse" 3 2 3 3 3 2 1 1 1 3 5 2.75 2.5 2.25 33 5
"78" 1 3 3 2 1 3 2 2 4 1 4 3 47 5.4 4 3 3.5 2.5 3 2.5 2.5 0 1 1 0 "Ich will mehr darüber wissen, was hinter dem Handeln und dem Verhalten von Menschen steckt." 1 2 3 4 3 2 2 1 2 1 4 2.25 3.25 3.5 47 5
"79" 3 3 4 2 2 4 1 4 2 3 1 4 43 5.8 4.5 4 3.5 3.5 5 2.8 3.16666666666667 0 1 1 0 "Interesse" 3 4 4 5 1 2 2 1 1 2 5 3.25 3.25 2 22 5
"80" 3 2 2 2 3 2 3 3 2 2 3 2 40 5.2 2 2.5 3 4.5 3 3 2.16666666666667 0 1 0 0 "Interesse daran, die Handlungen von Menschen zu verstehen & zu hinterfragen" 1 1 4 4 1 2 1 2 1 2 5 NA NA NA NA NA
"81" 2 2 2 1 3 2 3 2 3 2 2 1 27 4.8 1.5 2.5 4 5 3 2.5 2.83333333333333 0 0 1 1 NA 2 2 3 5 3 2 2 1 2 1 5 2.75 2.25 3 27 5
"82" 3 2 2 2 3 3 3 3 1 2 2 3 55 4.4 2 2.5 3 3 4 2.6 4.16666666666667 0 1 1 1 "Mich interessiert, wie das gehirn funktioniert, wie Menschen denken und warum man tut, was man tut " 2 3 5 4 1 2 1 2 1 2 5 NA NA NA NA NA
"83" 3 2 3 1 3 2 4 2 3 2 2 2 46 2.6 2.5 3 1.5 2.5 4 2.9 2 1 1 0 0 "Interesse" 4 2 3 4 3 2 1 1 1 2 5 2.75 2 2.25 149 5
"84" 2 3 1 2 2 2 1 3 3 2 3 1 28 4.4 4.5 2.5 3.5 5 2 2.6 2.33333333333333 0 1 1 0 "Wunsch Menschen zu helfen und Interesse am Studiengang" 3 2 2 4 3 1 1 2 1 2 5 2.5 2 2.75 52 5
"85" 2 2 2 2 2 1 NA NA NA NA NA NA 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"86" 4 2 1 1 1 4 3 4 1 4 1 3 34 6.6 2.5 4 5 3 2.5 2.8 1.66666666666667 1 1 0 0 "Intrinsisches Interesse" 5 2 4 5 3 1 1 2 2 4 5 NA NA NA NA NA
"87" 3 2 2 2 3 3 3 3 3 2 2 2 66 5 2.5 3 3 3 4.5 2.9 2.83333333333333 0 1 0 0 "Ich denke es liegt mir" 4 4 4 4 1 2 2 2 1 3 5 NA NA NA NA NA
"88" 4 3 1 1 1 3 2 3 1 3 1 3 43 5.2 4.5 5 2.5 2 3.5 3 2.33333333333333 0 1 1 0 "Menschen und mich selbst verstehen " 4 2 3 5 3 2 2 1 2 1 5 3.25 2.75 2.25 72 5
"89" 4 4 2 1 1 3 1 4 2 3 1 3 41 7 4.5 4.5 4 1.5 5 2.9 2.66666666666667 1 1 1 1 "Hoffe dass es vielseitig ist für meine vielen Interessen" 2 3 5 5 1 2 2 2 1 2 5 2.75 3.25 2.75 65 5
"90" 3 3 1 1 3 2 4 3 1 2 2 2 27 4.6 4 3.5 2.5 3.5 3.5 3 2.16666666666667 0 1 1 1 "Interesse" 4 2 2 4 3 2 1 1 1 1 5 2.75 2 2.75 58 5
"91" 3 2 1 1 3 1 3 3 4 3 4 1 34 4 4.5 4 5 3 1.5 2.9 2.66666666666667 1 1 1 0 "Geld" 3 3 2 2 1 2 1 1 1 4 5 2.75 1.75 3.25 32 5
"92" 2 2 3 2 3 2 3 3 4 2 3 2 38 3.8 4 3 3 5 4.5 2.4 3.33333333333333 0 1 1 0 NA 3 2 4 4 3 1 2 1 2 3 5 2.5 2.5 2.75 32 5
"93" 4 4 1 1 1 3 2 3 1 4 1 4 28 6.6 4 5 4.5 2.5 5 2.5 3.66666666666667 0 1 1 0 "Ich freue mich darauf, mir mehr Wissen in diesem Vereich anzueignen und mich durch das Studium als Person weiterzuentwickeln. " 1 1 3 5 3 2 2 2 1 2 5 3.25 2.75 2.25 26 5
"94" 2 2 3 3 2 1 1 2 3 3 2 1 34 3.8 4.5 3.5 3.5 5 1 3 1.66666666666667 0 1 1 0 "Aufgrund extremer Interesse an der Funktionsweise des menschlichen Wesen " 4 4 4 4 3 2 1 1 2 1 5 NA NA NA NA NA
"95" 3 3 1 1 2 4 2 3 1 3 1 3 41 6.4 2 4 4 4 3 3 2.33333333333333 0 1 1 0 "Hat mich immer interessiert und will anderen helfen" 1 2 4 4 1 2 1 1 1 2 5 3.25 2.25 2.5 29 5
"96" 4 4 2 1 1 3 1 4 1 4 3 3 117 4.4 2.5 3.5 3.5 2.5 5 2.7 3.66666666666667 0 1 0 0 "Ich will gut verdienen" 4 2 4 4 3 2 1 2 1 4 5 NA NA NA NA NA
"97" 2 3 4 3 3 1 3 2 3 2 3 1 39 5.6 3.5 4.5 2.5 4.5 4.5 2.8 2 0 1 0 0 "Intresse" 3 4 4 5 3 2 1 1 1 4 4 NA 1 3 29 NA
"98" 2 3 4 3 3 1 3 2 3 2 3 1 39 5.6 3.5 4.5 2.5 4.5 4.5 2.8 2 0 1 0 0 "Intresse" 3 4 4 5 3 2 1 1 1 4 4 1.5 1.5 3 20 5
"99" 3 3 4 3 2 1 1 2 4 3 4 1 63 6.8 4 3.5 5 3 3.5 2.9 2.33333333333333 1 1 0 0 "Interesse durch Arbeit in einer PSM" 4 2 3 3 3 2 1 2 2 4 5 3 3.25 2 75 5
"100" 3 3 2 1 1 3 2 4 1 3 1 3 72 3.2 3.5 3 2.5 3.5 3 2.7 2.16666666666667 0 1 0 0 "Menschen helfen" 4 2 3 4 1 2 2 1 2 3 5 2.25 2.75 2.5 63 5
"101" 3 3 1 2 1 3 1 3 2 2 1 3 26 3.2 3.5 3.5 2.5 4 4 2.5 2.66666666666667 1 1 1 0 "persönliches Interesse, Interesse an \"Funktionsweise Mensch\", evtl. Berufsziel Therapeut" 4 2 3 4 1 2 1 2 1 1 4 3.25 3.5 2.25 32 4
"102" 4 3 2 1 2 3 2 4 2 3 2 3 35 5.4 4 3.5 4.5 3 4.5 2.5 2.83333333333333 0 1 1 1 "Interesse, wichtiger Bestandteil eines jeden Lebens" 2 3 5 5 3 2 1 1 2 1 5 3.25 2.75 2.5 23 4
"103" 3 3 2 1 2 3 2 4 3 3 1 3 60 5 2.5 4 2 3 3.5 2.2 4.33333333333333 0 1 0 0 "Ich will Therapist werden." 1 2 4 4 3 2 1 2 1 2 5 3.5 2.75 2.25 32 5
"104" 3 4 1 1 1 3 2 3 1 3 1 3 37 6 4.5 4 4.5 3 4 2.5 3 0 1 1 0 "Weil ich mich in der Schule für Genetik und Neuro (Fach Biologie) interessiert habe und das Gehirn finde ich spannend" 2 3 5 4 1 2 1 1 2 1 5 3.25 3 2.5 30 5
"105" 3 2 2 3 4 3 2 2 2 1 3 3 87 5.8 5 4 3 1.5 4.5 2.2 2.83333333333333 0 1 1 0 "Ich interessiere mich für die menschliche Psyche (und diese zu erforschen), ich möchte mit Menschen arbeiten und Menschen helfen, ich interessiere mich außerdem für Sonderpädagogik und in diesem Ramen therapeutisch zu arbeiten." 4 2 4 5 3 2 1 1 3 1 5 2.75 2.75 2 45 5
"106" 3 2 2 2 3 3 2 3 2 2 2 3 48 2.8 4 3.5 2.5 4 4 2.2 3.33333333333333 0 1 0 0 "Deckt große Felder meiner Interessen ab " 1 3 5 5 3 2 1 1 1 3 4 NA NA NA NA NA
"107" 3 2 2 2 3 3 3 4 1 1 1 1 67 3.6 3.5 5 4.5 3.5 5 2.9 3.5 0 1 0 0 "Ich hatte immer Sehnsucht nach Menschlichen verhalten " 4 2 5 5 1 2 1 1 2 3 5 3.25 3.25 3.25 24 5
"108" 4 3 1 1 2 4 2 4 1 4 1 4 29 5.4 3 3 4 2 5 3 2.66666666666667 0 1 0 0 "Interesse am Erleben und der Wahrnehmung des Menschen" 3 2 4 5 3 1 1 2 2 1 5 3.25 2.75 2 22 5
"109" 3 3 2 1 1 3 1 4 2 3 1 3 74 6.6 3.5 3.5 4.5 2 5 2.1 3 0 1 0 0 NA 4 2 NA NA NA 2 NA 1 2 1 5 3.25 3.25 2.25 103 5
