"prok1" "prok2" "prok3" "prok4" "prok5" "prok6" "prok7" "prok8" "prok9" "prok10" "nr1" "nr2" "nr3" "nr4" "nr5" "nr6" "lz" "extra" "vertr" "gewis" "neuro" "intel" "nerd" "grund" "fach" "ziel" "lerntyp" "geschl" "job" "ort" "ort12" "wohnen" "uni1" "uni2" "uni3" "uni4"
"12" 3 1 2 2 3 2 3 4 3 4 5 4 5 4 5 3 5.4 2.25 4 3.25 4 3.75 3.5 "Zentrum meiner Interessen: Politik, Philosophie" 2 3 3 2 1 1 1 1 0 1 1 0
"13" 3 3 1 3 4 4 3 2 2 1 2 3 NA 5 4 4 5 4 3.75 4.5 4.25 5 4.16666666666667 "Ich glaube es liegt mir" 2 3 3 2 2 1 1 3 1 1 1 0
"14" 2 4 3 2 4 4 4 3 1 1 4 4 4 4 4 4 4.8 4 4.5 4 3 3.25 3 "Weil ich die BErufsperspektiven mag." 2 3 3 1 1 1 1 3 0 1 1 0
"15" 4 3 1 3 3 3 3 3 3 3 3 5 4 4 2 4 6.6 3 5 5 3 3.75 2.66666666666667 "Empathie, Interesse an geistigen Vorgängen" 4 2 1 1 1 1 2 4 0 1 0 0
"16" 3 3 3 NA 3 3 2 2 4 1 1 5 3 1 4 4 6 3.75 4.5 5 5 4 3 "Weil ich das Erleben und Verhalten des Menschen nachvollziehen können möchte" 3 1 1 1 1 1 1 2 0 1 0 0
"17" 2 3 3 2 3 3 4 3 2 3 1 3 2 4 3 3 5 2.75 4 4.75 3.5 3.75 3.16666666666667 "Ich habe mich für dieses Studium entschieden, da ich mich für die Gründe für das Verhalten und Denken bin Menschen interessiere." 2 3 3 1 1 1 1 2 0 1 1 0
"18" 3 2 3 4 3 2 3 4 2 4 3 5 4 4 3 4 6 2.75 3.75 4 4.25 4 3.33333333333333 "Interesse am Menschen, Kombi aus Natur-, Geistes- und Sozialwissenschaft" 3 3 1 1 1 1 3 1 0 1 1 1
"19" 2 4 2 2 3 3 3 3 3 1 4 4 2 3 3 2 3.6 4 5 5 4.5 3.5 3.83333333333333 "weil ich wissen möchte, was Menschen dazu bewegt zu tun, was sie tun/ zu sein, wie sie sind " 4 2 3 1 1 1 1 2 0 1 0 0
"20" 2 3 2 2 3 3 3 4 2 3 3 3 1 4 2 2 5 3 4.75 4.25 3.75 3 2.33333333333333 "Möchte Psycholog/in werden" 4 2 1 1 2 1 3 3 1 0 0 0
"21" 2 4 2 2 4 2 3 4 4 3 4 3 2 2 2 2 5.8 3.5 3.25 4 4.25 3.75 3.16666666666667 "Interesse warum sich Menschen wie verhalten und was im Gehirn vor sich geht" 1 3 3 1 1 1 2 1 0 1 1 1
"22" 3 2 2 3 3 2 3 2 2 1 3 4 3 4 3 3 4.6 4.25 4.5 3.25 4.25 3 3.33333333333333 "Interesse an Fach" 3 1 3 1 2 2 1 2 0 1 1 0
"23" 2 1 3 3 3 3 3 2 2 3 3 3 2 4 2 2 4.8 2 4 4.5 2.5 3.5 2.16666666666667 "- Aus Interesse " 4 2 3 2 2 2 1 2 0 1 0 0
"24" 2 3 3 2 3 2 3 3 2 3 4 4 3 2 3 2 6.4 3.75 4 3.75 3.25 4 3.16666666666667 NA 4 2 3 1 1 1 2 4 0 1 0 0
"25" 4 2 1 3 3 3 2 3 3 4 1 4 3 4 2 2 4.2 3.25 3.25 3 2.75 3.25 3.5 "Interessant" NA NA NA NA NA NA NA NA 0 0 0 0
"26" 2 3 3 2 3 3 3 2 2 3 3 4 3 4 3 3 4.6 4.25 4 3.5 3.75 3 3.33333333333333 "- Interessen, ich hatte das Fach in der Schule & in der Familie mit dem Themengebiet Berührpunkte" 3 1 3 1 1 1 2 1 0 1 1 0
"27" 3 3 3 2 4 3 4 3 3 3 1 3 1 3 2 2 NA 2.5 4.75 5 5 3.25 3.16666666666667 NA NA 2 1 1 2 2 1 2 0 1 0 0
"28" 3 4 2 2 3 4 3 3 2 4 3 4 4 3 4 2 5.8 3.25 4 4 3.5 3.75 3.83333333333333 "nteressant" 2 3 3 1 2 1 2 1 0 1 1 0
"29" 2 2 2 1 3 3 3 4 3 1 5 5 5 5 5 5 6.4 3.5 4.5 2.75 4.5 3.75 3.33333333333333 "Persönliches Interesse, unerschöpfliches Interesse " 3 2 3 1 1 1 1 4 0 1 1 0
"30" 3 1 1 3 2 3 1 2 3 3 4 2 4 3 3 3 4 3.5 4 3.5 4.25 4 3.33333333333333 "Ich will mich und andere besser verstehen " 4 2 3 1 1 1 1 3 1 0 0 0
"31" 4 2 1 2 2 3 2 3 4 4 4 3 5 5 4 5 4.2 4.5 5 2.75 3.25 3.75 2.83333333333333 "Spannend " 4 2 2 2 2 1 1 1 0 1 1 1
"32" 2 3 3 3 3 3 3 4 2 4 1 4 4 3 3 3 5.8 3.75 4.75 4.75 3 4 3.5 "Aus Interesse und dem Willen mit Menschen zu arbeiten und ihnen zu helfen." 1 2 1 1 2 1 2 3 0 1 1 0
"33" 2 3 3 3 3 4 3 1 2 3 5 4 5 4 4 4 4.2 4.25 4 4 3.5 3.75 3 "Interesse" 3 3 3 1 1 2 1 2 0 1 1 0
"34" 3 3 2 3 3 2 3 2 3 3 5 5 5 5 5 5 5 3.75 4.25 4.25 3.25 4 3.66666666666667 "Das Gehirn ist spannend" 2 2 3 1 1 2 1 4 1 1 0 0
"35" 3 2 2 3 4 2 3 3 3 2 1 3 2 3 2 2 5.2 4.25 4 4.25 3.25 3.5 1.5 "Interesse am Handeln der Menschen unter Einbeziehung biologischer Aspekte" 1 1 3 1 2 1 2 3 0 1 1 0
"36" 2 2 3 2 4 2 4 3 2 2 4 2 2 4 4 3 6.2 3.25 4.25 4.25 2.75 2.5 2.83333333333333 NA 3 2 3 1 1 1 1 2 0 1 0 0
"37" 3 2 2 3 3 3 3 3 4 3 4 3 4 5 5 3 5.2 3 3.75 3.75 2 3.5 2.66666666666667 "Um später, über diesen Weg, zum BKA zu gehen oder ähnliches in dieser Richtung." 1 4 1 1 NA 1 1 2 0 1 0 0
"38" 2 3 3 2 3 3 3 2 3 2 2 4 3 4 4 3 5.4 3.25 4.5 4.25 4.75 3.5 3.5 "interessantes Studium, man hat damit viele Möglichkeiten " NA 2 3 1 2 2 1 2 0 1 0 0
"39" 2 1 3 3 3 2 3 2 3 4 5 4 4 5 5 4 4.2 2.75 3.75 4.25 2.75 4 4 "Interesse an der Wahrnehmung und am Erleben des Menschen. Interesse und Vorerfahrung an psychischen Krankheiten. Biologisches Interesse insb. an der Neurologie." 2 2 1 2 1 1 2 1 0 1 0 0
"40" 2 3 3 2 4 3 3 2 2 2 2 2 3 2 3 3 5.2 3.25 3.25 4 3.5 3.25 3.5 "Interesse an Geist des Menschen sowie möglichen Krankheitsbildern " 4 2 3 1 2 1 2 3 0 1 1 0
"41" 3 2 2 3 4 3 2 3 3 4 2 5 3 4 3 4 4.8 3.25 4.5 4 3.5 4 3.33333333333333 NA 4 2 1 1 2 1 2 1 0 1 1 0
"42" 2 2 3 3 3 3 2 2 3 2 2 5 3 4 3 3 2.8 2.75 4 4 3.75 3 4.33333333333333 "Interesse am Verhalten/Denken von Straftätern" 4 2 1 1 2 1 2 3 0 1 0 0
"43" 4 2 1 3 2 3 3 2 4 4 4 5 3 4 2 3 3.4 2.5 4.75 3 4.5 3.25 3.83333333333333 "weil mich das Verhalten der Menschen und dessen Gründe interessieren" 4 2 3 1 2 2 1 4 0 1 0 0
"44" 4 2 1 4 2 3 2 3 4 4 4 4 3 4 3 3 5.6 3 4.25 3 3 3 2.83333333333333 "Interesse am Fach und an Menschen" 4 2 1 1 2 1 1 2 0 1 1 0
"45" 3 2 2 3 3 3 3 2 4 3 2 5 3 2 3 4 3.4 2 3.75 4 4.5 3.75 3.16666666666667 "Interesse; ich möchet helfen" 4 2 1 1 2 2 2 2 0 1 0 0
"46" 2 3 3 3 4 4 2 2 3 4 1 3 2 2 2 1 4.2 4.5 4.5 4 4.75 3.25 3.83333333333333 "Interesse, persönlcihe Erfahrungen" 1 4 1 1 1 2 2 2 0 1 0 0
"47" 3 1 2 3 4 2 2 3 3 3 4 4 2 5 4 4 4.2 3 4.75 4.75 3.5 4.5 3.5 "Ich finde es interessant zu verstehen wie Menschen ticken" 4 4 1 1 2 2 1 2 0 1 1 0
"48" 4 2 1 4 1 4 3 1 4 4 4 5 5 2 2 3 5 3.75 3.75 3.5 2.5 3.75 3.5 "Ich finde menschliches Denken und Verhalten sehr interessant und möchte mehr darüber lernen." 1 3 1 1 2 1 3 1 0 1 1 1
"49" 3 1 1 2 3 4 2 2 4 4 1 4 3 3 3 3 6 1.75 4.25 3.25 2.75 2.75 2.66666666666667 "Die eigene berufliche Tätigkeit sollte sinnerfüllender sein." 3 2 1 1 2 2 1 4 0 1 0 0
"50" 4 2 1 4 2 1 2 3 3 2 2 4 2 4 3 3 5 3 3.5 3.5 3 4.25 4.33333333333333 "komplexes Gebiet, Selbstreflexion, Freude am Analysieren von Verhalten" 1 3 3 1 1 2 1 2 0 1 1 0
"51" 3 3 3 3 4 3 2 3 4 1 1 3 2 3 2 3 4.6 4 4 4.25 3.75 3.25 3.16666666666667 "Da mich die menschliche Psyche sowie dessen Handeln interessiert und ich genaueres darüber erfahren möchte  " 1 4 1 1 2 2 1 2 0 1 1 0
"52" 3 2 2 2 3 2 3 4 2 2 1 2 NA 2 2 1 5.8 3.75 2.75 4 2.5 4.5 2.5 "mich interessiert warum Menschen wie handeln, verschiedene Berufsmöglichkeiten " 3 1 1 1 1 1 1 1 0 1 1 0
"53" 4 2 1 3 2 4 2 2 4 3 4 5 4 5 4 4 3.6 3.75 4.75 3 3.5 2 3.16666666666667 "Hilfsbereitschaft " 4 2 3 1 1 1 1 3 1 1 0 0
"54" 4 1 2 4 2 2 3 2 4 3 3 4 3 4 3 1 3.2 3.5 5 2 3.5 4.25 2 "Ich bin gut darin anderen Menschen zu helfen und die Thematik hat mich schon immer interessiert " NA NA NA NA NA NA NA NA 0 0 0 0
"55" 2 1 2 3 4 3 3 4 2 2 2 3 4 4 4 2 4 3 4.25 4 4.5 4.5 3.66666666666667 "Interesse an Thema und Analyse von Menschen " 4 4 1 1 2 1 2 3 0 1 1 1
"56" 3 4 2 3 3 3 3 4 4 4 4 5 5 5 4 4 4.6 4 4.75 4.25 4 4.5 4 "Interesse am Menschen" 2 2 3 2 1 1 1 1 0 1 0 0
"57" 2 2 3 2 3 3 2 3 2 2 2 4 3 4 4 3 4.8 4 4 4.25 4.25 4 3.33333333333333 "Interesse an der Wissenschaft (Neurologie, klinische Aspekte), anderen Menschen helfen" 4 2 3 1 1 1 2 3 0 1 1 0
"58" 2 2 3 1 4 3 2 2 1 4 1 3 4 3 4 4 4.6 5 4.75 3.75 4 4 2.83333333333333 "Will Psychotherapeut werden " 4 2 3 2 1 1 1 2 0 1 1 0
"59" 3 1 1 4 2 2 2 3 3 4 4 2 1 4 3 2 4.8 2 3.25 4 3.5 2.75 3.16666666666667 "Ich bin mir in meiner Berufswahl immer noch unschlüssig und Psychology bietet mir immer noch eine gewisse Flexibilität in meiner zukünftigen Berufswahl." 4 4 1 1 1 2 1 4 1 0 0 0
"60" 2 3 4 2 4 3 3 3 2 1 4 4 3 4 4 4 5 2.25 3.75 4.5 3.5 3.75 4.33333333333333 "allgemeines Interesse an Themengebieten; evtl Arbeit als Psychotherapeut" 4 2 1 1 2 2 1 2 0 1 0 0
"61" 4 3 2 2 3 3 3 3 3 4 3 4 5 2 5 2 5.4 2.75 3.75 4 4.25 2.5 2 NA 3 1 3 1 1 2 1 2 0 1 0 0
"62" 2 3 2 2 3 2 3 3 3 1 5 1 4 4 4 3 4.4 3.75 4 4.5 1.5 3.5 3.33333333333333 "Jordan B Peterson" 4 2 3 2 1 1 1 2 0 1 0 0
"63" 2 3 3 2 4 3 3 3 2 2 4 3 4 5 4 4 5.2 4.75 4 4.75 3.5 4.75 2.66666666666667 "Ich interessiere mich sehr was einen Menschen \"gut\" oder \"böse\" macht und wie Menschen zu Straftäteren " 2 3 3 1 1 1 1 4 1 1 1 0
"64" 4 1 2 2 3 2 3 2 4 4 1 2 1 1 1 1 2.6 4 4.5 4 3.25 3.25 2.83333333333333 NA NA NA NA NA NA NA NA NA 0 0 0 0
"65" 2 3 3 2 4 4 3 4 4 2 2 3 2 1 2 2 3.8 4.25 4.75 4.75 4.75 3.5 1.83333333333333 "- Interesse" NA NA NA NA NA NA NA NA 0 0 0 0
"66" 2 4 4 2 4 1 4 3 1 2 4 3 4 3 4 4 6.6 5 4.25 5 3.5 4 2.83333333333333 "Leidenschaft" 4 2 3 1 1 1 1 3 1 1 0 0
"67" 3 4 2 2 3 2 4 3 3 4 1 5 5 4 4 2 4.8 2.75 5 4.5 4 4.5 4.16666666666667 "Der Wunsch, anderen helfen zu können" 4 2 1 3 1 1 1 2 0 1 0 0
"68" 2 3 3 2 3 4 2 2 1 2 4 5 4 5 5 5 3.6 3.25 4 3.75 3.75 2.25 3.66666666666667 "Berufliche Umorientierung" 3 2 3 1 1 2 2 4 0 1 0 0
"69" 3 3 1 3 3 2 2 2 3 4 1 2 3 4 4 5 5.8 3.5 4.5 4 3.75 4 3.33333333333333 "Erfahrungen mit dem Berufsfeld " 4 2 1 1 1 1 3 1 1 1 0 0
"70" 3 3 2 2 3 2 3 3 2 2 3 4 2 3 2 3 5.8 3.25 4 3.5 3.75 3.25 3.5 "Meine Interessen und spätere Berufliche Vorstellung" 3 2 3 1 1 2 1 2 0 1 1 0
"71" 2 3 3 2 4 1 3 4 2 1 4 4 3 4 4 3 4.6 3.5 4.25 3.75 3.5 2.75 2.5 "Wunsch Menschen mit psychischen Erkrankungen zu helfen" 4 2 3 1 1 1 1 3 0 1 0 0
"72" 2 3 2 2 3 3 4 4 2 1 1 4 3 4 3 4 6.2 4.5 4.5 3.75 3 3.75 2.5 "Interesse am menschlichen Verhalten und Denken" 3 2 3 1 2 1 2 1 0 1 1 0
"73" 3 2 2 3 3 2 3 3 3 4 4 4 2 3 3 2 5.2 4.75 5 4.25 3.75 3.75 2.5 "Interesse an menschlichen Verhaltensweisen " 3 2 2 1 1 1 1 1 1 1 1 0
"74" 3 3 2 2 3 2 3 4 2 4 2 4 4 5 4 3 5.4 3.75 4.25 4 3.75 3.5 2.66666666666667 "Vielfältiges Fach, menschenbezogen, Naturwissenschaften " 1 3 3 1 1 1 1 1 0 1 1 0
"75" 3 2 1 3 3 3 2 4 3 2 4 2 2 5 4 3 5 3 4 2.75 3.75 4 2.83333333333333 "Weil ich Psychotherapeutin werden möchte " 3 2 1 1 1 2 1 1 0 1 0 0
"76" 4 1 2 3 2 3 2 3 4 4 2 4 2 4 2 2 1.4 3.25 4 2.5 4 4 3.16666666666667 "Verbesserung der diagnostik und therapien von psychischen störungen" 4 2 3 1 1 1 1 3 0 1 1 0
"77" 2 3 1 3 3 3 2 3 4 4 4 4 5 4 4 4 4.6 3.25 4 4.25 3 3.75 3.16666666666667 "Menschen sind mein Ding und ich will mehr über sie lernen" 4 2 3 1 2 1 2 1 0 1 1 1
"78" 1 3 4 2 3 1 4 4 1 1 3 5 3 3 3 3 4.8 4.25 4.75 4.5 4.75 4.25 2.66666666666667 "Hohes Interesse" 4 2 3 1 1 1 1 3 0 1 0 0
"79" 2 4 2 2 3 2 3 3 2 3 4 4 2 4 5 3 5.4 3.5 4 3.75 3.25 4.5 2.66666666666667 "Weil es das Interessanteste war, was ich gefunden habe und man damit Menschen sehr vielseitig helfen kann." 3 3 3 2 1 2 2 2 0 1 0 0
"80" 4 1 2 3 2 1 2 2 4 3 3 4 3 4 4 3 2.8 3.75 5 2 4 4.25 1.83333333333333 "Weil ich mich schon immer für die Thematik interessiert habe und anderen Menschen helfen will " 3 2 3 2 1 1 1 2 0 1 0 0
"81" 2 1 1 1 3 2 3 3 2 3 1 2 1 2 1 3 3.2 2.75 4 3 2.75 3 2.66666666666667 "Interessant und Vielfältig " 4 3 1 2 1 2 1 1 0 1 0 0
"82" 2 2 4 2 3 4 3 2 4 2 1 5 2 3 3 2 2.4 4 5 4.25 4 3 1.5 " Ich habe schon lange ein großes Interesse an der Psychologie" 2 4 3 1 2 1 2 3 0 1 0 0
"83" 3 3 2 2 3 4 2 2 4 2 3 4 1 4 2 4 5.4 3.5 4.75 3.5 2.75 3.75 3.33333333333333 "Arbeit mit Menschen, Lehre von etwas interdisziplinärem" 3 2 3 2 1 2 2 3 0 1 1 0
"84" 3 2 1 1 1 4 1 1 3 3 1 1 1 1 1 1 2.2 1.5 3 2.75 4.25 3 3.83333333333333 NA 3 2 1 2 2 1 3 3 0 1 0 0
"85" 3 2 2 3 2 2 3 3 2 2 2 2 1 2 1 1 4.8 3.5 4 3.25 2.5 3.25 2.33333333333333 "Interessante Thematik " 2 1 1 1 1 1 2 1 0 1 0 0
"86" 2 3 3 2 3 1 4 4 2 2 2 4 2 3 3 3 6 3.75 4 4.25 2 3.5 3 "Interesse an der Thematik durch Fachliteratur entdeckt" 3 3 2 1 1 1 1 2 1 1 1 1
"87" 2 4 3 3 3 2 3 3 2 2 3 2 4 4 4 5 5.2 2.25 4.5 3.5 3.75 3.5 3.66666666666667 "Faszination mit menschlicher Psyche" 4 2 1 1 2 1 2 1 0 1 1 1
"88" 2 4 3 2 3 2 2 3 2 4 3 4 4 5 4 2 4.8 3.25 3 3.5 3.75 4.25 3.33333333333333 "Interesse an der Psyche des Menschen" 2 1 3 1 1 2 1 4 0 1 0 0
"89" 2 3 4 2 4 2 1 4 1 1 1 3 1 4 2 1 5.8 3 4.75 5 4.5 3.5 2.33333333333333 "Schmerzpsychologie" 4 2 3 1 2 1 2 3 0 1 1 0
"90" 4 2 1 3 3 4 2 2 4 4 4 1 3 2 3 4 5.6 3.25 3.75 4.25 3.5 4.25 3.66666666666667 "Interesse" 3 3 1 1 1 1 1 2 0 1 0 0
"91" 3 3 3 3 3 3 3 2 3 2 4 4 5 3 5 4 4.6 3.5 3.75 3.5 3.5 3.75 3 "mich selbst zu verstehen" 4 2 1 1 1 1 2 3 1 1 0 0
"92" 3 3 2 2 3 3 3 3 3 3 3 4 1 5 5 4 4.4 2.75 3.75 3 3.5 3.5 3.5 "Großes Interesse an menschlichem Verhalten schon seit der frühen Kindheit " 2 3 1 1 1 2 2 3 1 1 0 0
"93" 2 2 3 2 3 1 3 2 2 1 1 3 1 4 2 3 5.4 3.25 4 4.5 2.75 3.5 3 "Ich helfe gerne Menschen und analysiere diese in Bezug auf ihre Vergangenheit. Ich war selber in Therapie in meinen Jugendjahren, meine Eltern haben sich auch einst therapieren lassen. " 3 2 1 1 2 2 1 2 0 1 0 0
"94" 3 3 2 2 3 3 2 3 3 3 1 5 3 4 3 3 5.4 2.75 4.25 3.25 3.75 3.25 3.33333333333333 "Ich interessiere mich für die Beweggründe des Menschen und will gerne später in die Richtung Kriminologie gehen." 3 4 3 1 1 2 1 2 0 1 0 0
"95" 1 3 4 1 4 4 4 1 1 4 1 2 1 4 1 1 3.8 4.25 4 4 4.25 3 2.33333333333333 "- Interesse für die Psyche des Menschen" NA NA NA NA NA NA NA NA 0 0 0 0
"96" 3 4 2 1 4 4 4 4 2 1 1 5 5 5 5 5 5.6 4.5 5 4.75 2.5 3.75 4.66666666666667 "ich fans interessant" 4 2 3 1 2 1 2 1 1 1 0 0
"97" 2 2 2 3 3 3 3 2 3 1 3 4 2 4 3 4 5.6 3.25 3.5 3.5 3.5 3.25 3.16666666666667 "Interesse an der Gedankenwelt der Menschen " 2 3 3 1 1 2 1 2 0 1 1 0
"98" 2 2 3 2 3 3 2 2 3 3 3 4 4 2 3 2 4.2 3 3.75 4.25 3.75 3 2.16666666666667 "Menschliches Verhalten und Erleben interessiert mich. Zudem würde ich gerne Psychotherapeutin werden." 4 2 1 1 2 1 1 2 1 1 0 0
"99" 4 2 3 4 4 4 2 2 4 4 4 5 2 5 2 3 4.6 3.25 5 4.75 3.75 4 2.5 "Breite Berufseinstiegsmöglichkeiten, Interesse an Persönlichkeits- und Handlungsunterschieden" 2 1 1 1 1 1 2 3 0 1 1 0
"100" 4 3 3 3 3 4 3 3 4 3 2 4 4 3 4 3 6.2 3.25 4.75 4.25 2.5 4.25 2.83333333333333 "Menschen, Biologie, Wissenschaft, helfen" 2 2 3 1 1 2 1 2 0 1 1 1
"101" 3 3 2 2 3 4 3 2 2 4 4 2 4 5 4 3 3.8 3.5 4.75 2.75 3.5 3.75 2.83333333333333 "Lieblingsfach " 4 2 1 1 1 1 1 3 0 1 0 0
"102" 3 2 1 4 4 3 2 3 2 4 4 4 2 2 2 1 4.2 4 4 2.25 3 4 2 NA NA NA NA NA NA NA NA NA 0 0 0 0
"103" 4 3 2 3 2 3 3 3 4 4 2 3 3 3 3 3 3.8 3.75 3.75 2.25 2.5 3.5 3 "." 2 1 1 2 2 1 2 3 0 1 1 0
"104" 4 3 2 3 3 3 2 2 4 3 3 5 5 4 5 3 3.8 3.25 3.75 4 3.25 3.5 3.83333333333333 "Interesse an der Psyche des Menschen" 3 2 3 1 1 1 3 3 0 1 0 0
"105" 1 3 3 1 4 2 2 4 2 2 2 5 3 2 3 5 5.4 3.75 4.75 5 2.75 3.75 2.33333333333333 "viele Berufsfelder, Mischung aus Natur- und Geisteswissenschaft" 2 3 3 1 1 1 2 1 1 1 0 0
"106" 2 2 2 2 4 1 3 3 1 3 4 3 5 5 5 5 4.6 3.25 4.75 4.25 4 4.5 3.33333333333333 "Bauchgefühl, arbeite gerne mit Menschen, persönliche Erfahrungen" 1 2 1 1 1 2 1 2 1 1 1 0
"107" 2 4 3 2 3 4 3 2 2 2 2 4 3 5 3 3 5.2 3.75 4.5 4.75 4 4 2.33333333333333 "Interesse mehr über den Menschen zu erfahren" 1 1 3 1 1 2 1 2 0 1 1 0
"108" 2 1 4 3 3 2 3 2 2 1 2 2 4 4 3 2 3.6 3 4 3.75 5 3.5 2.5 "Interesse an Inhalten" 3 4 1 NA 1 1 1 3 1 1 0 0
"109" 3 3 1 4 3 4 2 2 3 3 5 3 3 4 3 4 2.4 2.5 2.75 3.25 4.25 2.25 3.83333333333333 "Hatte den NC und wollte es probieren " 5 3 3 1 1 1 1 3 0 1 0 0
"110" 4 2 1 3 2 3 2 2 3 3 1 3 4 3 3 4 4.2 4 3.5 3 4.25 3 3.16666666666667 NA NA NA NA NA NA NA NA NA 0 0 0 0
"111" 2 3 2 1 4 2 3 3 2 1 5 3 5 5 5 5 4.4 4 3.75 4.25 3.75 3.75 2.83333333333333 "-schon sehr frühes Interesse an Psychologie " 4 2 1 1 1 2 1 2 0 1 1 0
"112" 2 4 3 3 4 2 3 4 2 3 2 3 3 5 4 2 3.2 3.75 3.25 4.25 4.25 4 4 "Interesse daran, Menschen zu verstehen" 5 3 1 1 1 1 1 3 0 1 0 0
"113" 1 3 3 2 2 1 3 4 2 2 1 4 2 2 1 1 4.2 2.25 3.75 2.5 3 3.25 3.83333333333333 "wissenschaftlich sehr interessant und mit viel Potential in der Forschung" 1 3 3 2 2 2 1 2 0 1 0 0
"114" 2 3 3 2 3 3 3 3 2 1 1 4 4 1 3 4 4 2.75 4.25 4 3 3.75 2.16666666666667 "Interesse am Menschen" 1 1 1 1 1 2 2 2 0 1 0 0
"115" 3 1 3 3 2 4 1 2 4 4 1 5 1 4 2 1 2.6 3.25 4 3 4.25 1.75 3.66666666666667 "Vorerfahrung" 4 2 3 1 2 1 1 2 0 1 1 0
"116" 3 2 2 2 3 3 2 3 2 4 3 5 3 4 4 3 2 2.25 3.25 4.25 3.25 2 3.33333333333333 "Finde es interessant" 4 2 3 1 1 2 1 2 0 1 0 0
"117" 3 1 2 2 4 3 3 3 4 4 3 2 4 4 5 3 4.6 3.5 4.5 4.5 3.75 3.25 2.5 "wegen meinem großen Interesse für das Gebiet" 3 1 1 1 1 1 1 3 0 1 1 1
"118" 2 2 3 2 3 2 3 3 3 1 3 4 4 4 4 3 5.2 2.75 4 4.25 2.75 2.75 2.83333333333333 "Interesse" 2 1 1 1 2 2 2 2 0 1 0 0
"119" 3 2 2 3 2 3 3 2 2 3 5 4 3 4 3 3 4.4 3.25 2.75 3 3.75 3.75 3.16666666666667 NA 2 4 3 1 2 1 2 4 0 1 0 0
"120" 3 1 1 4 1 3 1 1 4 4 2 4 2 4 1 1 1.8 2.5 3 3.25 2.75 1.25 3 "In der Schule steht’s als spannend empfunden + Fach lag mir" 2 3 1 1 2 1 2 1 0 1 0 0
"121" 3 2 1 3 3 2 2 3 3 1 3 3 4 5 4 4 4.6 2.25 4 3.75 3.5 2.5 2.33333333333333 NA NA NA NA 1 2 1 2 NA 0 0 0 0
"122" 2 3 3 1 4 3 3 4 2 2 4 3 2 5 4 3 4.4 2.75 4.25 3.5 4 3.75 3 "Ich mochte andere Leute hilfen" 3 4 1 1 1 1 3 1 1 0 0 0
